$CDC: RAGGRUPPAMENTI ;$CDC: Codice e descrizione;$CON: UNLG - Liv. 2;$CON: Codice;$CON: Descrizione;Ter_cod;Ter_descr;NOTE;gennaio;febbraio;marzo;aprile;maggio;giugno;luglio;agosto;settembre;ottobre;novembre;dicembre;Totale - Importo di default
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002131;LPM.GROUP S.R.L.;; 11,453.59 ; 11,453.59 ; 12,885.29 ; 11,453.59 ; 12,408.05 ; 11,930.82 ; 12,408.05 ; 12,408.05 ; 11,930.82 ; 12,408.05 ; 11,930.82 ; 11,930.82 ;144,602
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000256;SALUMIFICIO SAN MICHELE S.P.A.;; 9,541.25 ; 9,541.25 ; 10,733.90 ; 9,541.25 ; 10,336.35 ; 9,938.80 ; 10,336.35 ; 10,336.35 ; 9,938.80 ; 10,336.35 ; 9,938.80 ; 9,938.80 ;120,458
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000817;GRISSITALIA S.R.L. A SOCIO UNICO;; 9,316.72 ; 9,316.72 ; 10,481.31 ; 9,316.72 ; 10,093.12 ; 9,704.92 ; 10,093.12 ; 10,093.12 ; 9,704.92 ; 10,093.12 ; 9,704.92 ; 9,704.92 ;117,624
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001985;SALUMIFICIO TOSCANO PIACENTI S.P.A.;; 8,817.98 ; 8,817.98 ; 9,920.23 ; 8,817.98 ; 9,552.82 ; 9,185.40 ; 9,552.82 ; 9,552.82 ; 9,185.40 ; 9,552.82 ; 9,185.40 ; 9,185.40 ;111,327
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002047;IFFCO ITALIA S.R.L. A SOCIO UNICO;; 7,519.19 ; 7,519.19 ; 8,459.09 ; 7,519.19 ; 8,145.79 ; 7,832.49 ; 8,145.79 ; 8,145.79 ; 7,832.49 ; 8,145.79 ; 7,832.49 ; 7,832.49 ;94,930
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001024;NUOVA JOLLI S.R.L.;; 10,078.78 ; 10,078.78 ; 11,338.63 ; 10,078.78 ; 10,918.68 ; 10,498.73 ; 10,918.68 ; 10,918.68 ; 10,498.73 ; 10,918.68 ; 10,498.73 ; 10,498.73 ;127,245
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000958;ALTAMAREA S.R.L.;; 8,426.09 ; 8,426.09 ; 9,479.35 ; 8,426.09 ; 9,128.26 ; 8,777.18 ; 9,128.26 ; 9,128.26 ; 8,777.18 ; 9,128.26 ; 8,777.18 ; 8,777.18 ;106,379
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000543;GENNARO AURICCHIO SPA;; 7,762.92 ; 7,762.92 ; 8,733.28 ; 7,762.92 ; 8,409.83 ; 8,086.37 ; 8,409.83 ; 8,409.83 ; 8,086.37 ; 8,409.83 ; 8,086.37 ; 8,086.37 ;98,007
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001315;REGGIANA GOURMET S.R.L.;; 7,558.89 ; 7,558.89 ; 8,503.75 ; 7,558.89 ; 8,188.80 ; 7,873.84 ; 8,188.80 ; 8,188.80 ; 7,873.84 ; 8,188.80 ; 7,873.84 ; 7,873.84 ;95,431
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000636;GRA-COM S.R.L.;; 7,774.45 ; 7,774.45 ; 8,746.26 ; 7,774.45 ; 8,422.32 ; 8,098.39 ; 8,422.32 ; 8,422.32 ; 8,098.39 ; 8,422.32 ; 8,098.39 ; 8,098.39 ;98,152
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000515;GES.TRA. GESTIONE TRASPORTI S.R.L.;; 8,536.03 ; 8,536.03 ; 9,603.03 ; 8,536.03 ; 9,247.36 ; 8,891.69 ; 9,247.36 ; 9,247.36 ; 8,891.69 ; 9,247.36 ; 8,891.69 ; 8,891.69 ;107,767
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001493;I.P.A.S. INDUSTRIA PRODUZIONI ALIMENTARI E S;; 7,477.40 ; 7,477.40 ; 8,412.07 ; 7,477.40 ; 8,100.52 ; 7,788.96 ; 8,100.52 ; 8,100.52 ; 7,788.96 ; 8,100.52 ; 7,788.96 ; 7,788.96 ;94,402
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000441;F.LLI TANZI S.P.A.;; 7,283.90 ; 7,283.90 ; 8,194.38 ; 7,283.90 ; 7,890.89 ; 7,587.39 ; 7,890.89 ; 7,890.89 ; 7,587.39 ; 7,890.89 ; 7,587.39 ; 7,587.39 ;91,959
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001153;COOPERATIVA MODENESE ESICCAZIONE FRUTTA;; 7,180.94 ; 7,180.94 ; 8,078.56 ; 7,180.94 ; 7,779.36 ; 7,480.15 ; 7,779.36 ; 7,779.36 ; 7,480.15 ; 7,779.36 ; 7,480.15 ; 7,480.15 ;90,659
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000164;C.S.C. SOCIETA' COOPERATIVA;; 6,964.10 ; 6,964.10 ; 7,834.61 ; 6,964.10 ; 7,544.44 ; 7,254.27 ; 7,544.44 ; 7,544.44 ; 7,254.27 ; 7,544.44 ; 7,254.27 ; 7,254.27 ;87,922
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001006;MORGANTI S.R.L.;; 6,948.03 ; 6,948.03 ; 7,816.53 ; 6,948.03 ; 7,527.03 ; 7,237.53 ; 7,527.03 ; 7,527.03 ; 7,237.53 ; 7,527.03 ; 7,237.53 ; 7,237.53 ;87,719
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000513;PASTIFICIO ZANINI S.R.L.;; 6,164.78 ; 6,164.78 ; 6,935.38 ; 6,164.78 ; 6,678.51 ; 6,421.65 ; 6,678.51 ; 6,678.51 ; 6,421.65 ; 6,678.51 ; 6,421.65 ; 6,421.65 ;77,830
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000782;VILLA DEGLI OLMI S.P.A.;; 5,966.47 ; 5,966.47 ; 6,712.28 ; 5,966.47 ; 6,463.67 ; 6,215.07 ; 6,463.67 ; 6,463.67 ; 6,215.07 ; 6,463.67 ; 6,215.07 ; 6,215.07 ;75,327
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001352;FIETTA S.P.A.;; 6,129.11 ; 6,129.11 ; 6,895.25 ; 6,129.11 ; 6,639.87 ; 6,384.49 ; 6,639.87 ; 6,639.87 ; 6,384.49 ; 6,639.87 ; 6,384.49 ; 6,384.49 ;77,380
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001854;SAPONERIE MARIO FISSI S.R.L. UNIPERSONALE;; 5,570.06 ; 5,570.06 ; 6,266.32 ; 5,570.06 ; 6,034.23 ; 5,802.15 ; 6,034.23 ; 6,034.23 ; 5,802.15 ; 6,034.23 ; 5,802.15 ; 5,802.15 ;70,322
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001280;GRAZIANO S.R.L.;; 6,443.07 ; 6,443.07 ; 7,248.46 ; 6,443.07 ; 6,980.00 ; 6,711.54 ; 6,980.00 ; 6,980.00 ; 6,711.54 ; 6,980.00 ; 6,711.54 ; 6,711.54 ;81,344
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002405;PASTA & CO. SRL;; 6,102.18 ; 6,102.18 ; 6,864.95 ; 6,102.18 ; 6,610.69 ; 6,356.44 ; 6,610.69 ; 6,610.69 ; 6,356.44 ; 6,610.69 ; 6,356.44 ; 6,356.44 ;77,040
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000507;GUALERZI S.P.A.;; 6,135.46 ; 6,135.46 ; 6,902.40 ; 6,135.46 ; 6,646.75 ; 6,391.11 ; 6,646.75 ; 6,646.75 ; 6,391.11 ; 6,646.75 ; 6,391.11 ; 6,391.11 ;77,460
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001271;GASTRONOMIA PICCININI SAPORI DELLACOLLINA;; 4,576.46 ; 4,576.46 ; 5,148.52 ; 4,576.46 ; 4,957.83 ; 4,767.15 ; 4,957.83 ; 4,957.83 ; 4,767.15 ; 4,957.83 ; 4,767.15 ; 4,767.15 ;57,778
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000598;A.S.T.R.A BIO S.R.L.;; 5,132.67 ; 5,132.67 ; 5,774.26 ; 5,132.67 ; 5,560.40 ; 5,346.53 ; 5,560.40 ; 5,560.40 ; 5,346.53 ; 5,560.40 ; 5,346.53 ; 5,346.53 ;64,800
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001072;CORTE PARMA ALIMENTARE SRL;; 5,014.10 ; 5,014.10 ; 5,640.86 ; 5,014.10 ; 5,431.94 ; 5,223.02 ; 5,431.94 ; 5,431.94 ; 5,223.02 ; 5,431.94 ; 5,223.02 ; 5,223.02 ;63,303
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000538;BEDANI S.P.A.-SOCIETA' CON AZIONISTA UNICO;; 5,580.10 ; 5,580.10 ; 6,277.62 ; 5,580.10 ; 6,045.11 ; 5,812.61 ; 6,045.11 ; 6,045.11 ; 5,812.61 ; 6,045.11 ; 5,812.61 ; 5,812.61 ;70,449
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000510;BM GASTRONOMIA S.R.L.;; 3,826.00 ; 3,826.00 ; 4,304.25 ; 3,826.00 ; 4,144.84 ; 3,985.42 ; 4,144.84 ; 4,144.84 ; 3,985.42 ; 4,144.84 ; 3,985.42 ; 3,985.42 ;48,303
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000635;INAGRA S.R.L. A SOCIO UNICO;; 4,212.64 ; 4,212.64 ; 4,739.22 ; 4,212.64 ; 4,563.70 ; 4,388.17 ; 4,563.70 ; 4,563.70 ; 4,388.17 ; 4,563.70 ; 4,388.17 ; 4,388.17 ;53,185
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000712;SOLO COSE BUONE SRL;; 3,751.81 ; 3,751.81 ; 4,220.78 ; 3,751.81 ; 4,064.46 ; 3,908.13 ; 4,064.46 ; 4,064.46 ; 3,908.13 ; 4,064.46 ; 3,908.13 ; 3,908.13 ;47,367
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001405;DI COSTA S.P.A.;; 3,551.44 ; 3,551.44 ; 3,995.37 ; 3,551.44 ; 3,847.39 ; 3,699.42 ; 3,847.39 ; 3,847.39 ; 3,699.42 ; 3,847.39 ; 3,699.42 ; 3,699.42 ;44,837
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000645;SABELLI S.P.A.;; 3,273.07 ; 3,273.07 ; 3,682.20 ; 3,273.07 ; 3,545.83 ; 3,409.45 ; 3,545.83 ; 3,545.83 ; 3,409.45 ; 3,545.83 ; 3,409.45 ; 3,409.45 ;41,323
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000220;MONARI FEDERZONI SPA;; 3,296.97 ; 3,296.97 ; 3,709.09 ; 3,296.97 ; 3,571.71 ; 3,434.34 ; 3,571.71 ; 3,571.71 ; 3,434.34 ; 3,571.71 ; 3,434.34 ; 3,434.34 ;41,624
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000102;CENTRO LATTE BRESSANONE SOC.AGR.COOP. BRIMI;; 5,132.67 ; 5,132.67 ; 5,774.26 ; 5,132.67 ; 5,560.40 ; 5,346.53 ; 5,560.40 ; 5,560.40 ; 5,346.53 ; 5,560.40 ; 5,346.53 ; 5,346.53 ;64,800
